Date,Open,High,Low,Close,Adj Close,Volume
2019-09-18,187.862411,196.486679,188.634079,191.664566,191.664566,8336536093
2019-09-19,191.532379,201.739441,185.277878,200.299454,200.299454,9613097029
2019-09-20,200.108246,201.092926,195.249847,197.872787,197.872787,7285105673
2019-09-21,197.734238,200.511932,195.105133,195.573410,195.573410,7026782607
2019-09-22,195.546509,196.099777,188.439224,191.978912,191.978912,7090220218
2019-09-23,192.131210,192.700714,183.646729,183.677719,183.677719,6817529418
2019-09-24,183.605652,184.766281,147.747070,152.634460,152.634460,10675321759
2019-09-25,152.655197,159.520035,150.566833,156.025879,156.025879,8916983866
2019-09-26,155.901917,157.201782,143.868530,152.655350,152.655350,7185890803
2019-09-27,152.586288,160.500351,149.166138,159.677979,159.677979,7228756734
2019-09-28,159.650421,160.675293,156.100540,159.573059,159.573059,6302947976
2019-09-29,159.609497,160.107101,152.602493,155.806091,155.806091,5937039196
2019-09-30,155.767578,165.022308,153.246399,165.022308,165.022308,6929361580
2019-10-01,165.331406,169.246353,160.801773,162.199097,162.199097,7020875761
2019-10-02,162.092667,164.979782,159.969208,164.874298,164.874298,5780388031
2019-10-03,164.868103,164.714767,157.244873,159.613083,159.613083,5813694905
2019-10-04,159.648697,162.619873,158.076965,161.192642,161.192642,5691336564
2019-10-05,161.157410,161.866547,157.636948,160.626251,160.626251,5316707598
2019-10-06,160.637970,161.468079,155.946869,157.548553,157.548553,5328319494
2019-10-07,157.440384,166.198486,156.329422,165.132141,165.132141,7149263296
2019-10-08,165.065628,168.219254,163.450256,166.085571,166.085571,6812609723
2019-10-09,166.099014,176.857559,164.449295,175.940735,175.940735,8272254116
2019-10-10,175.847733,176.097000,171.019745,174.065125,174.065125,7606996061
2019-10-11,174.193542,176.935394,164.563828,165.386230,165.386230,8269346388
2019-10-12,165.353928,168.827621,163.100464,163.863297,163.863297,6791285852
2019-10-13,163.894714,167.816116,163.501144,165.095184,165.095184,6105259161
2019-10-14,165.052856,169.874084,164.757690,169.563263,169.563263,6599404066
2019-10-15,169.577911,170.154007,162.634918,164.395981,164.395981,7006493359
2019-10-16,164.339493,164.042572,157.175934,158.936157,158.936157,6945016966
2019-10-17,158.839874,160.805466,156.910065,160.022385,160.022385,6055826492
2019-10-18,159.986603,159.517776,153.094498,155.436768,155.436768,6773790663
2019-10-19,155.461929,157.215546,154.178131,154.802628,154.802628,5865274247
2019-10-20,154.857895,158.414337,153.476883,157.352692,157.352692,6096640903
2019-10-21,157.344070,159.383850,155.389893,156.854446,156.854446,6111855410
2019-10-22,156.840164,157.838058,154.797394,154.828506,154.828506,6282027491
2019-10-23,154.794327,154.881271,141.445602,145.882523,145.882523,8645839955
2019-10-24,145.982529,147.830978,144.895370,146.048660,146.048660,6575191732
2019-10-25,146.067734,165.158890,146.175461,163.825974,163.825974,9348703611
2019-10-26,163.955795,176.835373,158.958282,162.298996,162.298996,12482992305
2019-10-27,162.386688,169.753922,160.305206,166.223511,166.223511,9758153645
2019-10-28,166.363617,169.287979,162.409897,164.584320,164.584320,9376758835
2019-10-29,164.591125,172.625061,164.092743,171.271591,171.271591,9558435569
2019-10-30,171.266022,171.347137,162.770844,165.591309,165.591309,9400554156
2019-10-31,165.685852,169.177200,161.394730,164.888992,164.888992,8611567445
2019-11-01,164.742691,165.701721,162.151291,164.725922,164.725922,8188943624
2019-11-02,164.769119,166.294189,163.687271,164.697388,164.697388,7242440812
2019-11-03,164.759277,165.692886,161.030746,163.365250,163.365250,7844977060
2019-11-04,163.270340,168.964371,163.391617,167.465668,167.465668,9482343887
2019-11-05,167.424438,172.711365,166.457123,170.947159,170.947159,9052122841
2019-11-06,170.774979,174.845932,170.437851,173.081284,173.081284,9175101021
2019-11-07,173.000397,173.590744,168.800781,170.076096,170.076096,8216467815
2019-11-08,170.028809,171.351059,165.656830,167.172455,167.172455,8327956208
2019-11-09,167.263443,168.653671,166.896423,167.918747,167.918747,6604461242
2019-11-10,167.841278,173.209869,167.554306,171.900421,171.900421,7940832184
2019-11-11,171.923691,172.478210,167.718933,168.084412,168.084412,7138253892
2019-11-12,168.152557,170.675613,167.263901,169.672501,169.672501,7076084712
2019-11-13,169.762436,171.968246,168.885574,170.993530,170.993530,6669731145
2019-11-14,171.006042,171.180237,167.874954,168.789093,168.789093,7144206827
2019-11-15,168.842209,168.533875,162.315353,163.348373,163.348373,7977051800
2019-11-16,163.328400,166.636765,162.863815,165.906616,165.906616,6143972853
2019-11-17,165.908844,170.239212,164.943146,167.460159,167.460159,6661820371
2019-11-18,167.389801,168.825317,161.824341,163.074387,163.074387,7033512700
2019-11-19,163.022781,164.768936,158.151321,160.190002,160.190002,6803416542
2019-11-20,160.153656,161.562256,158.220123,158.588318,158.588318,6504064174
2019-11-21,158.565979,159.242020,144.019867,145.915482,145.915482,7723441230
2019-11-22,145.954483,147.920929,129.153641,136.343414,136.343414,10906835056
2019-11-23,136.292648,139.821579,133.923630,139.201172,139.201172,7521071478
2019-11-24,139.212738,139.687119,129.588211,129.588211,129.588211,7060995092
2019-11-25,129.463287,136.416473,121.517143,133.027649,133.027649,9956197194
2019-11-26,132.962051,136.077271,131.733932,135.134109,135.134109,6938374504
2019-11-27,134.618622,140.761810,130.436356,139.056290,139.056290,7977550572
2019-11-28,139.109634,142.227386,137.212189,137.781097,137.781097,6671694227
2019-11-29,137.827438,142.351379,137.461395,140.949844,140.949844,6810335472
2019-11-30,140.933746,142.211914,137.251068,138.443954,138.443954,5959211046
2019-12-01,138.400604,138.392822,133.470322,137.207397,137.207397,6446071437
2019-12-02,137.198090,137.345490,133.273300,134.584610,134.584610,6022809830
2019-12-03,134.583801,135.622543,131.734833,133.498550,133.498550,5598106464
2019-12-04,133.464249,135.959152,130.834167,132.410339,132.410339,7097427174
2019-12-05,132.355072,137.916443,130.985901,134.398727,134.398727,6074692160
2019-12-06,134.531540,135.341217,133.474823,134.910721,134.910721,5840410601
2019-12-07,134.913574,135.458038,134.169525,134.525253,134.525253,5345297720
2019-12-08,134.503113,137.793991,134.105225,136.773865,136.773865,5824622665
2019-12-09,136.737396,137.301346,133.421661,133.967392,133.967392,6095481500
2019-12-10,133.926437,133.929977,130.633652,131.858871,131.858871,6183808933
2019-12-11,131.907181,132.166763,128.489502,128.994873,128.994873,6321097719
2019-12-12,129.001755,130.286667,126.429810,130.154694,130.154694,7053174281
2019-12-13,130.200897,131.160538,129.262619,130.340103,130.340103,6532807967
2019-12-14,130.347916,130.865570,128.082855,128.473724,128.473724,6337903745
2019-12-15,128.469910,129.376373,125.332703,128.647919,128.647919,6503773458
2019-12-16,128.669983,128.605026,118.936012,119.975243,119.975243,8074385929
2019-12-17,120.005013,120.173500,108.859825,109.943810,109.943810,8121923166
2019-12-18,109.991287,120.007385,107.759529,119.735725,119.735725,10673854584
2019-12-19,119.700264,120.637115,113.248276,116.259438,116.259438,8598645398
2019-12-20,116.316284,117.138145,114.636665,116.515022,116.515022,7378752987
2019-12-21,116.542030,116.588699,115.202454,115.670853,115.670853,6724680406
2019-12-22,115.641220,120.185852,115.464027,119.475067,119.475067,8232366390
2019-12-23,119.415924,121.464180,114.869484,115.948944,115.948944,8674931855
2019-12-24,115.962616,118.736015,114.801193,116.383881,116.383881,7179602752
2019-12-25,116.388039,116.333313,112.563042,113.977356,113.977356,7587413114
2019-12-26,114.005920,117.932869,112.984932,113.845146,113.845146,7748955610
2019-12-27,113.851967,114.631828,111.699524,113.841682,113.841682,7426949981
2019-12-28,113.840256,116.565300,113.559875,114.833298,114.833298,7221045871
2019-12-29,114.783333,122.349709,114.467789,120.513527,120.513527,8682520244
2019-12-30,120.547989,122.088486,117.435722,118.406960,118.406960,8746111081
2019-12-31,118.388008,119.192322,114.794312,115.518661,115.518661,7965187724
2020-01-01,115.536301,118.401070,115.159210,116.588669,116.588669,7072964397
2020-01-02,116.604736,117.101593,113.641785,114.049316,114.049316,7190359200
2020-01-03,114.050278,120.573586,113.347450,120.231003,120.231003,9388280172
